frame,dx,dy,scale,angle,cum_x,cum_y,cum_scale,cum_angle,inliers
98,-0.075799,0.102842,0.999994,-0.013217,-0.018383,-0.617926,0.998426,0.180373,215
99,-0.284950,0.374169,0.999845,-0.021212,-0.303333,-0.243758,0.998271,0.159161,209
100,0.022442,0.038507,0.999853,0.008341,-0.280891,-0.205250,0.998124,0.167502,225
101,-0.096193,-0.024967,0.999996,-0.009382,-0.377084,-0.230217,0.998120,0.158120,191
102,-0.004876,0.001767,1.000004,-0.000106,-0.381960,-0.228450,0.998123,0.158014,400
103,0.029192,0.060284,0.999964,0.003565,-0.352768,-0.168167,0.998088,0.161579,223
104,-0.081123,-0.094297,1.000179,-0.011119,-0.433891,-0.262463,0.998267,0.150460,186
105,0.204025,-0.484710,1.000035,0.025383,-0.229866,-0.747173,0.998302,0.175843,213
106,-0.381147,-0.114829,1.000111,-0.006723,-0.611013,-0.862002,0.998413,0.169120,229
107,0.252019,-0.112035,0.999947,0.012404,-0.358994,-0.974037,0.998360,0.181524,268
108,-0.023098,0.116229,0.999894,-0.007228,-0.382092,-0.857808,0.998254,0.174295,251
109,0.013443,-0.242462,1.000033,0.025734,-0.368649,-1.100270,0.998286,0.200029,246
110,0.425876,-0.291669,0.999816,0.013363,0.057226,-1.391939,0.998103,0.213392,234
111,0.120363,-0.149202,0.999969,0.008496,0.177589,-1.541141,0.998072,0.221888,276
112,-0.140981,0.124277,1.000124,-0.009701,0.036608,-1.416864,0.998196,0.212187,269
113,-0.428550,0.553709,1.000370,-0.048605,-0.391942,-0.863155,0.998565,0.163581,190
114,-1.111313,-0.750689,1.001099,0.024005,-1.503255,-1.613844,0.999663,0.187586,224
115,0.202472,-0.367234,0.999873,0.014908,-1.300782,-1.981077,0.999535,0.202494,270
116,0.170397,-0.052355,0.999836,-0.011240,-1.130385,-2.033432,0.999371,0.191254,238
117,0.042366,-0.191599,1.000010,0.007609,-1.088019,-2.225032,0.999381,0.198863,237
118,-0.150650,-0.151443,0.999918,-0.007513,-1.238670,-2.376474,0.999299,0.191351,213
119,-0.113831,-0.268766,1.000188,0.007002,-1.352501,-2.645241,0.999487,0.198352,266
120,-0.175329,0.063076,1.000134,-0.007099,-1.527829,-2.582165,0.999621,0.191253,214
121,-0.164383,-0.161237,1.000048,-0.005679,-1.692212,-2.743402,0.999669,0.185575,233
122,-0.010918,-0.001721,0.999817,0.003673,-1.703130,-2.745123,0.999486,0.189248,244
123,-0.128916,-0.012978,1.000162,-0.012063,-1.832046,-2.758101,0.999648,0.177185,227
124,-0.179722,0.230781,1.000039,-0.020682,-2.011769,-2.527320,0.999688,0.156503,228
125,0.067589,-0.275279,0.999995,0.021867,-1.944179,-2.802599,0.999683,0.178370,183
126,-0.208676,-0.003364,1.000164,-0.008234,-2.152855,-2.805963,0.999847,0.170136,218
127,-0.177600,-0.134153,1.000115,0.002568,-2.330455,-2.940116,0.999962,0.172704,216
128,-0.950858,-0.852881,1.001038,0.016477,-3.281313,-3.792998,1.001000,0.189181,87
129,-0.064990,-0.112175,1.000159,-0.002063,-3.346302,-3.905173,1.001159,0.187118,186
130,-0.446981,0.115309,1.000590,-0.018349,-3.793284,-3.789864,1.001750,0.168769,171
131,0.103422,0.133696,0.999813,0.005821,-3.689862,-3.656168,1.001562,0.174590,169
